Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,18,LAL,NBA,SG,9,133,12.5,.543,.418,.545,0.9,9.2,5.1,16.4,1.3,1.3,17.0,29.8,,0.0,0.1,0.1,.042,,-1.2,-1.5,-2.8,0.0
1997-98,19,LAL,NBA,SG,11,220,12.8,.501,.184,.592,3.8,7.8,5.8,12.1,0.7,2.7,10.3,22.5,,0.3,0.0,0.2,.046,,-3.0,-0.5,-3.5,-0.1
1998-99,20,LAL,NBA,SG,8,315,19.1,.502,.162,.246,4.5,16.3,10.0,21.7,2.5,2.5,16.5,27.2,,0.2,0.2,0.4,.060,,-0.2,3.4,3.3,0.4
1999-00,21,LAL,NBA,SG,22,857,19.3,.517,.162,.320,3.4,9.9,6.6,19.8,2.0,2.9,10.9,26.7,,1.5,0.5,2.1,.115,,1.5,1.8,3.3,1.2
2000-01,22,LAL,NBA,SG,16,694,25.0,.555,.095,.422,4.7,13.3,9.1,25.4,1.9,1.3,10.7,30.3,,2.6,1.2,3.8,.260,,6.5,0.8,7.3,1.6
2001-02,23,LAL,NBA,SG,19,833,20.5,.511,.135,.336,3.8,10.6,7.3,20.2,1.7,1.5,9.8,29.8,,1.7,0.8,2.6,.148,,2.4,0.8,3.3,1.1
2002-03,24,LAL,NBA,SG,12,531,22.2,.531,.196,.328,3.3,10.1,6.6,22.8,1.4,0.1,10.4,34.0,,1.2,0.2,1.5,.131,,3.4,-1.1,2.3,0.6
2003-04,25,LAL,NBA,SG,22,973,21.0,.506,.211,.361,2.2,10.3,6.2,25.6,2.4,0.6,10.3,29.8,,2.1,0.8,2.9,.145,,3.5,1.1,4.6,1.6
2005-06,27,LAL,NBA,SG,7,314,19.9,.587,.241,.331,1.5,16.9,8.8,21.5,1.3,0.8,16.6,28.9,,0.5,0.1,0.6,.087,,1.0,1.2,2.2,0.3
2006-07,28,LAL,NBA,SG,5,215,24.1,.561,.215,.285,0.5,14.3,6.9,20.0,1.2,0.7,13.1,33.9,,0.6,-0.1,0.5,.121,,2.0,1.1,3.1,0.3
2007-08,29,LAL,NBA,SG,21,863,25.0,.577,.229,.419,2.5,13.0,8.0,26.9,2.1,0.7,11.3,33.0,,2.4,0.8,3.2,.178,,5.5,1.3,6.8,1.9
2008-09,30,LAL,NBA,SG,23,940,26.8,.564,.200,.372,2.4,12.8,7.6,26.0,2.1,1.9,8.7,32.9,,3.3,1.4,4.7,.238,,6.8,0.6,7.5,2.2
2009-10,31,LAL,NBA,SG,23,923,24.7,.567,.256,.358,3.3,14.0,8.7,26.0,1.8,1.4,11.8,33.2,,2.7,0.9,3.6,.190,,5.5,0.4,5.9,1.9
2010-11,32,LAL,NBA,SG,10,354,20.6,.536,.220,.328,2.7,9.8,6.0,19.1,2.5,0.8,12.7,32.7,,0.5,0.2,0.7,.099,,1.9,-0.8,1.1,0.3
2011-12,33,LAL,NBA,SG,12,476,24.4,.525,.199,.316,3.5,9.6,6.5,24.0,1.8,0.3,9.0,35.8,,1.4,0.0,1.4,.143,,4.7,-0.9,3.8,0.7
